1	0	6944	591
2	33704	30123	321
3	162292	42136	766
4	337420	4022	632
5	358505	726	357
6	362801	633	300
7	366455	2431	773
8	379825	4985	1227
9	406988	2767	671
10	422202	3964	1259
11	444097	1825	358
12	453911	167	110
13	455031	917	348
14	460328	1233	472
15	467503	544	125
16	470479	1698	303
17	478653	1519	628
18	487366	1532	221
19	495312	2780	258
20	509148	319	210
21	511146	2162	916
22	522902	2698	585
23	537477	611	234
24	540973	64	44
25	541403	3088	1183
26	559110	1523	105
27	566656	636	163
28	570157	666	348
29	574247	862	237
30	579074	2658	962
31	594040	447	210
32	596762	156	70
33	597740	9615	822
34	646530	295	173
35	648375	2585	572
36	662335	636	369
37	666201	584	231
38	669687	594	315
39	673278	552	91
40	676171	15	12
41	676279	792	322
42	680952	440	200
43	683557	1350	497
44	691289	284	124
45	692993	1981	839
46	704544	452	178
47	707207	238	124
48	708684	122	80
49	709480	164	97
50	710514	4581	1171
51	735217	153	97
52	736215	589	320
53	739924	5957	294
54	765514	40	36
55	765813	1280	545
56	773298	539	187
57	776325	924	472
58	781938	13906	764
59	841644	2120	996
60	854043	3061	693
61	870105	4845	1395
62	895864	254	125
63	897405	453	153
64	900077	2195	485
65	912464	1864	366
66	922206	1253	358
67	929116	1146	206
68	935017	79	53
69	935554	647	307
70	939457	104	54
71	940097	4137	685
72	962572	4181	1508
73	985858	1375	365
74	992933	81	49
75	993458	687	264
76	997388	219	107
77	998688	3722	951
78	1019059	607	259
79	1022632	7526	1633
80	1061225	1468	576
81	1069576	896	256
82	1074530	355	241
83	1076830	131	102
84	1077678	2023	642
85	1088824	29	23
86	1089031	2115	550
87	1100478	898	466
88	1106010	68	18
89	1106427	1559	694
90	1115636	1747	664
91	1125344	79	59
92	1125882	3721	1359
93	1146670	475	317
94	1149650	54	38
95	1150030	912	401
96	1155172	1119	395
97	1161710	260	146
98	1163357	240	121
99	1164828	3408	1115
100	1184301	3299	653
101	1201583	1934	571
102	1212429	79	50
103	1212950	143	76
104	1213809	755	321
105	1218273	534	180
106	1221362	566	227
107	1224662	6548	1757
108	1261006	1496	621
109	1269629	425	269
110	1272293	547	309
111	1275710	2622	373
112	1287699	9	9
113	1287768	1442	547
114	1296062	534	251
115	1299352	627	327
116	1303210	1048	468
117	1309486	437	251
118	1312227	93	49
119	1312835	811	328
120	1317600	2623	686
121	1331614	1294	501
122	1339289	1464	222
123	1346409	88	63
124	1347017	234	108
125	1348504	2049	795
126	1360323	4570	1268
127	1385139	584	269
128	1388691	972	242
129	1393945	260	106
130	1395438	1442	206
131	1402230	24	17
132	1402408	1783	221
133	1410710	2243	817
134	1423157	788	397
135	1427893	1742	715
136	1437552	2271	1520
137	1450929	4554	1406
138	1474693	6101	2003
139	1507526	3807	2263
140	1528959	429	317
141	1531661	2076	869
142	1543556	1949	716
143	1554801	1086	435
144	1561359	1745	530
145	1571078	1789	549
146	1580234	335	210
147	1582312	1363	550
148	1590097	3794	1307
149	1609880	1755	780
150	1619870	1214	586
151	1626867	900	452
152	1632150	8	8
153	1632220	242	71
154	1633601	6	2
155	1633631	604	395
156	1636882	4475	1217
157	1661705	3159	953
158	1679493	3073	908
159	1695078	2	2
160	1695090	256	186
161	1696771	2758	832
162	1711885	790	306
163	1716715	1636	663
164	1725739	2058	881
165	1737572	1202	591
166	1744495	874	367
167	1749435	2133	748
168	1761530	279	130
169	1763211	306	212
170	1765201	7134	1165
171	1801350	7954	1330
172	1842097	44	39
173	1842398	4510	1838
174	1865922	1200	545
175	1872668	1907	732
176	1883583	544	229
177	1886599	36	17
178	1886838	1154	428
179	1893453	772	394
180	1898175	1860	782
181	1909017	115	57
182	1909756	2181	481
183	1921083	1749	388
184	1930269	399	246
185	1932682	1875	852
186	1943267	10138	1358
187	1994671	336	229
188	1996731	127	70
189	1997538	1921	803
190	2008204	2053	935
191	2019962	12308	1810
192	2081659	18430	1935
193	2171613	4956	2035
194	2200195	2579	1542
195	2215495	2415	345
196	2228126	4226	1454
197	2251394	1264	466
198	2258083	13750	1014
199	2328030	4459	1010
200	2350864	2425	496
201	2362632	16	2
202	2362712	791	464
203	2367588	2440	866
204	2381508	557	271
205	2384645	174	83
206	2385700	513	258
207	2388714	1120	399
208	2394919	6903	2567
209	2432063	1316	726
210	2439256	1305	589
211	2446550	5902	1005
212	2477990	1497	665
213	2486796	612	273
214	2490632	791	490
215	2495374	3877	1209
216	2517082	1165	243
217	2523240	2492	884
218	2537297	1754	381
219	2546272	781	203
220	2550523	4400	1347
221	2575108	1507	439
222	2583266	4670	498
223	2606643	291	200
224	2608506	2691	878
225	2623621	2452	475
226	2637188	4343	1353
227	2662005	2055	863
228	2674254	10353	2072
229	2728886	2304	620
230	2741847	4	3
231	2741877	54	44
232	2742258	2689	574
233	2757273	967	343
234	2762901	193	107
235	2764094	609	154
236	2767418	362	118
237	2769569	405	23
238	2771598	295	79
239	2773280	1980	569
240	2784593	4317	905
241	2807142	471	246
242	2810104	1742	617
243	2819842	192	48
244	2820955	34	25
245	2821187	353	70
246	2823143	185	90
247	2824309	309	132
248	2826107	232	101
249	2827454	3100	495
250	2842994	4073	821
251	2864191	173	77
252	2865225	2813	525
253	2880233	1033	463
254	2886287	296	214
255	2888245	441	155
256	2890718	1947	708
257	2901746	364	167
258	2903940	126	81
259	2904715	2	2
260	2904731	1928	745
261	2915730	510	142
262	2918532	841	148
263	2923005	188	58
264	2924063	314	154
265	2926002	582	277
266	2929607	35	28
267	2929873	2338	563
268	2942559	382	169
269	2944923	1650	576
270	2954378	347	235
271	2956571	2053	651
272	2968132	1170	435
273	2974388	305	175
274	2976280	339	99
275	2978241	406	247
276	2980713	129	75
277	2981586	1704	632
278	2991460	296	193
279	2993296	313	44
280	2994923	71	53
281	2995403	16	12
282	2995525	20	15
283	2995674	754	323
284	3000171	321	179
285	3002256	147	59
286	3003163	20	11
287	3003298	2181	582
288	3014718	108	59
289	3015433	136	38
290	3016241	404	99
291	3018371	2933	964
292	3034697	3355	1295
293	3054051	288	165
294	3055870	42	31
295	3056157	68	51
296	3056630	186	46
297	3057676	419	201
298	3060246	33	24
299	3060476	137	32
300	3061324	14	10
301	3061438	3050	1253
302	3079217	2332	815
303	3092113	1458	419
304	3100064	6437	1043
305	3132185	83	40
306	3132689	432	267
307	3135368	173	93
308	3136465	3596	728
309	3155557	4332	1281
310	3178771	562	321
311	3182247	22758	2537
312	3296326	800	530
313	3301187	3536	1259
314	3321603	2716	597
315	3336377	10853	1863
316	3393603	702	421
317	3397746	2504	487
318	3411007	459	277
319	3413779	1581	480
320	3422511	2139	1599
321	3435350	2002	534
322	3446346	13245	1525
323	3509799	1049	484
324	3515997	756	321
325	3520381	1474	603
326	3528445	2348	666
327	3541594	3551	321
328	3559252	131	84
329	3560087	66184	532
330	3833502	77	49
331	3833997	88	29
332	3834509	720	42
333	3837641	2520	209
334	3849143	3628	414
335	3866765	223	111
336	3868013	1397	508
337	3875704	599	236
338	3879280	150	89
339	3880217	29	27
340	3880436	1751	818
341	3890742	685	298
342	3894514	216	55
343	3895765	62	35
344	3896181	3259	813
345	3913327	8996	1293
346	3959633	6601	479
347	3989994	4689	179
348	4010733	2868	355
349	4025578	407	239
350	4028143	534	181
351	4031310	49	20
352	4031601	1457	502
353	4039686	1443	257
354	4047062	61	48
355	4047498	383	145
356	4049711	582	361
357	4053414	4406	690
358	4076764	517	112
359	4079727	633	112
360	4083234	228	123
361	4084682	36	20
362	4084907	987	340
363	4090600	2064	755
364	4102505	302	134
365	4104377	1984	685
366	4115684	802	415
367	4120633	4506	1139
368	4143560	552	322
369	4147007	10276	1129
370	4199241	4345	833
371	4221353	2495	701
372	4235029	9992	1197
373	4283087	4	4
374	4283114	468	100
375	4285711	863	502
376	4291088	1124	578
377	4297616	31	14
378	4297811	862	550
379	4302789	2	2
380	4302803	178	53
381	4303758	409	197
382	4306295	2839	617
383	4320743	1151	251
384	4326341	491	302
385	4329401	853	430
386	4334566	1041	572
387	4340884	8	2
388	4340924	692	336
389	4345097	4766	722
390	4370471	1975	612
391	4381898	14472	1402
392	4455679	910	293
393	4461071	1806	678
394	4471485	213	166
395	4472976	2266	523
396	4485365	2251	868
397	4498606	1337	249
398	4505444	1010	499
399	4511444	107	76
400	4512183	50	32
401	4512522	52	44
402	4512898	1870	755
403	4524001	3348	666
404	4541358	473	280
405	4544279	2668	1029
406	4559006	3356	1114
407	4577488	3751	1459
408	4598204	1436	582
409	4606523	45	40
410	4606839	17	14
411	4606967	2815	917
412	4622966	3197	885
413	4639269	508	324
414	4642349	2669	344
415	4655983	18043	1380
416	4742018	2172	681
417	4753889	2274	1027
418	4766752	217	124
419	4768034	2431	570
420	4781250	9	7
421	4781314	34	17
422	4781536	4242	952
423	4804053	100	65
424	4804705	76	47
425	4805223	70	37
426	4805674	795	240
427	4809939	7945	351
